epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,7824.94,1.00895,0.58055,0.90832,0,0,0,0,4.01441,3.85653,2.40755,0.0007625,0.0007625,0.0007625
52,7978.08,0.90063,0.5197,0.92292,0,0,0,0,4.63573,4.79967,2.97803,0.00073775,0.00073775,0.00073775
53,8129.41,0.95711,0.51704,0.93301,0,0,0,0,4.63573,4.79967,2.97803,0.000713,0.000713,0.000713
54,8281.42,0.89325,0.52734,0.95193,0,0,0,0,4.53103,4.42367,2.82103,0.00068825,0.00068825,0.00068825
55,8436.07,0.98364,0.53911,0.97779,0.9121,1,0.995,0.6965,1.40055,1.11946,1.39752,0.0006635,0.0006635,0.0006635
56,8586.4,0.92935,0.48328,0.97058,0.97142,1,0.995,0.6965,1.47835,0.49893,1.2213,0.00063875,0.00063875,0.00063875
57,8739.47,0.89007,0.53324,0.89901,0.97142,1,0.995,0.6965,1.47835,0.49893,1.2213,0.000614,0.000614,0.000614
58,8891.31,0.99051,0.53208,0.93565,0.97055,1,0.995,0.6965,1.44584,0.60761,1.23391,0.00058925,0.00058925,0.00058925
59,9043.49,0.90832,0.50075,0.93772,0.97011,1,0.995,0.6965,1.5121,0.58882,1.36048,0.0005645,0.0005645,0.0005645
60,9194.64,0.85598,0.49421,0.94231,0.96958,1,0.995,0.6965,1.40583,0.49457,1.32867,0.00053975,0.00053975,0.00053975
61,9349.74,0.8717,0.50095,0.89064,0.96958,1,0.995,0.6965,1.40583,0.49457,1.32867,0.000515,0.000515,0.000515
62,9504.02,0.84974,0.49316,0.91739,0.97026,1,0.995,0.6965,1.21769,0.54426,1.20496,0.00049025,0.00049025,0.00049025
63,9657.36,0.87783,0.51694,0.91675,0.97122,1,0.995,0.6965,1.18606,0.50419,1.13618,0.0004655,0.0004655,0.0004655
