epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4245,2.32077,5.58729,1.5125,0.00333,1,0.00478,0.00222,2.01523,5.11416,1.289,4e-05,4e-05,4e-05
2,42.9757,2.20424,4.99483,1.36175,0.00333,1,0.00461,0.00276,1.65199,5.36386,1.16331,9.87625e-05,9.87625e-05,9.87625e-05
3,63.2559,1.82465,4.37188,1.19812,0.00333,1,0.00463,0.0037,1.13613,4.63454,1.07167,0.00015604,0.00015604,0.00015604
4,83.5415,1.77684,3.48693,1.14717,0.00333,1,0.4975,0.10241,0.95776,4.56033,1.06282,0.000211833,0.000211833,0.000211833
5,104.094,1.73046,3.41776,1.16895,0.00333,1,0.24875,0.07736,1.26585,4.88822,1.12216,0.00026614,0.00026614,0.00026614
6,124.399,1.7076,3.53946,1.21344,0.00333,1,0.00526,0.00421,1.17176,4.96039,1.11402,0.000318963,0.000318963,0.000318963
7,144.587,1.78039,2.7429,1.22319,0.00333,1,0.00493,0.00099,1.59624,5.34609,1.28503,0.0003703,0.0003703,0.0003703
8,164.884,1.67336,2.75038,1.25966,0.00333,1,0.00478,0.00096,1.96607,6.4639,1.40215,0.000420152,0.000420152,0.000420152
9,185.458,1.69601,2.67474,1.16229,0.00333,1,0.0051,0.00102,2.72089,5.0883,1.55502,0.00046852,0.00046852,0.00046852
10,205.649,1.67018,2.56605,1.20731,0.00333,1,0.00505,0.00101,2.2394,6.16143,1.38638,0.000515403,0.000515403,0.000515403
11,226.152,1.57552,2.37229,1.05344,0.00333,1,0.00572,0.00114,2.07125,5.73242,1.31914,0.0005608,0.0005608,0.0005608
12,246.921,1.57595,2.38229,1.13929,0.00333,1,0.00603,0.00121,1.57406,5.61176,1.39644,0.000604713,0.000604713,0.000604713
13,267.216,1.59641,2.11754,1.13873,0.00333,1,0.0076,0.00076,2.25487,6.54083,1.52687,0.00064714,0.00064714,0.00064714
14,287.481,1.71574,2.18646,1.18135,0.00333,1,0.01843,0.00184,2.21759,7.06593,1.51869,0.000688083,0.000688083,0.000688083
15,307.783,1.51449,2.06839,1.04042,0.00333,1,0.995,0.0995,1.26149,7.19415,1.24313,0.00072754,0.00072754,0.00072754
16,328.274,1.62143,2.23463,1.1899,0,0,0,0,1.16567,5.91066,1.13324,0.000765512,0.000765512,0.000765512
17,348.615,1.57056,2.07756,1.10547,0.00333,1,0.4975,0.04975,1.65525,6.53059,1.38271,0.000802,0.000802,0.000802
18,369.239,1.58597,2.06182,1.13424,0.00333,1,0.995,0.0995,2.21668,6.47647,1.82776,0.000837003,0.000837003,0.000837003
19,389.44,1.46172,1.966,1.06669,0.00333,1,0.995,0.0995,2.33144,5.94511,2.31946,0.00087052,0.00087052,0.00087052
20,409.596,1.40767,1.78481,1.05513,0.00333,1,0.995,0.199,2.66783,5.9695,2.74341,0.000902552,0.000902552,0.000902552
21,429.655,1.44497,1.94647,1.04623,0.00333,1,0.995,0.199,1.89786,5.64647,1.56602,0.0009331,0.0009331,0.0009331
22,450.243,1.39873,1.62771,1.04945,0.00333,1,0.995,0.20051,1.703,4.86387,1.2801,0.000962162,0.000962162,0.000962162
23,470.863,1.34781,1.60651,0.99913,0.00333,1,0.995,0.20143,1.51163,4.94956,1.22594,0.00098974,0.00098974,0.00098974
24,491.17,1.40949,1.71876,1.04606,0.00333,1,0.995,0.20122,1.6456,4.96619,1.32214,0.00101583,0.00101583,0.00101583
25,511.511,1.3547,1.64147,1.03908,0.00333,1,0.4975,0.14925,1.95547,4.74244,1.71611,0.00104044,0.00104044,0.00104044
26,531.671,1.29519,1.64131,1.04831,0.00333,1,0.4975,0.0995,2.10904,4.63587,1.88719,0.00106356,0.00106356,0.00106356
27,551.812,1.3882,1.61052,1.08279,0.00333,1,0.995,0.20348,1.66053,4.26355,1.32111,0.0010852,0.0010852,0.0010852
28,572.033,1.23762,1.43066,0.99275,0.00333,1,0.995,0.6965,1.23793,3.83453,1.16294,0.00110535,0.00110535,0.00110535
29,592.494,1.33664,1.54211,1.00365,0.00333,1,0.995,0.6965,1.23793,3.83453,1.16294,0.00112402,0.00112402,0.00112402
30,612.66,1.29261,1.65515,1.06875,0.00333,1,0.995,0.597,1.62219,3.6966,1.21421,0.0011412,0.0011412,0.0011412
31,632.788,1.29438,1.4552,0.98432,0.00333,1,0.995,0.4975,1.85053,3.65924,1.28377,0.0011569,0.0011569,0.0011569
32,653.255,1.19961,1.69689,1.03959,0.00333,1,0.995,0.398,2.46068,4.13505,1.49089,0.00117111,0.00117111,0.00117111
33,673.512,1.30837,1.4422,0.99774,0.00333,1,0.995,0.398,2.46068,4.13505,1.49089,0.00118384,0.00118384,0.00118384
34,693.663,1.31715,1.44903,1.04446,0.00333,1,0.995,0.398,2.29001,3.81765,1.41156,0.00118325,0.00118325,0.00118325
35,713.818,1.33409,1.5618,1.07524,0.00333,1,0.995,0.6965,1.28869,3.50873,1.11832,0.0011585,0.0011585,0.0011585
36,734.396,1.30559,1.304,1.02718,0.00333,1,0.995,0.796,1.0042,3.51876,1.03422,0.00113375,0.00113375,0.00113375
37,754.574,1.21713,1.24492,1.01209,0.00333,1,0.995,0.796,1.0042,3.51876,1.03422,0.001109,0.001109,0.001109
38,774.792,1.26245,1.39469,1.05275,0.00333,1,0.995,0.796,1.03332,3.183,1.04518,0.00108425,0.00108425,0.00108425
39,795.25,1.2409,1.35363,1.01341,0.35815,1,0.995,0.44775,1.09622,3.36033,1.01252,0.0010595,0.0010595,0.0010595
40,815.41,1.22916,1.36675,0.98368,0.64865,1,0.995,0.398,1.14465,3.78758,1.05343,0.00103475,0.00103475,0.00103475
41,835.486,1.15287,1.484,1.0126,0.64865,1,0.995,0.398,1.14465,3.78758,1.05343,0.00101,0.00101,0.00101
42,856.042,1.13328,1.30825,1.01715,0.55211,1,0.995,0.398,1.21955,3.55841,1.06062,0.00098525,0.00098525,0.00098525
43,876.265,1.12452,1.32982,0.99079,0.65284,1,0.995,0.597,1.2793,3.16021,1.05669,0.0009605,0.0009605,0.0009605
44,896.789,0.99245,1.00699,0.92751,0.55162,1,0.995,0.597,1.07236,2.71812,1.01642,0.00093575,0.00093575,0.00093575
45,917.176,1.12,1.14765,0.97864,0.55162,1,0.995,0.597,1.07236,2.71812,1.01642,0.000911,0.000911,0.000911
46,937.368,0.93314,1.0904,0.94547,0.55844,1,0.995,0.6965,1.17187,2.54717,1.06554,0.00088625,0.00088625,0.00088625
47,957.414,1.10353,1.30393,0.97087,0.46313,1,0.995,0.6965,1.28252,2.634,1.13317,0.0008615,0.0008615,0.0008615
48,977.602,1.00889,1.12042,0.95656,0.45319,1,0.995,0.6965,1.3689,2.51238,1.14989,0.00083675,0.00083675,0.00083675
49,998.139,1.07352,1.30152,0.95133,0.45319,1,0.995,0.6965,1.3689,2.51238,1.14989,0.000812,0.000812,0.000812
50,1018.26,1.02413,1.1612,0.93156,0.48465,1,0.995,0.597,1.55859,2.20827,1.20799,0.00078725,0.00078725,0.00078725
51,1038.64,1.05337,1.15704,0.90758,0.88434,1,0.995,0.44775,1.72313,2.73583,1.23569,0.0007625,0.0007625,0.0007625
52,1059.5,0.95424,1.13917,0.92656,0.89462,1,0.995,0.20125,2.32858,2.84408,1.72617,0.00073775,0.00073775,0.00073775
53,1079.77,0.93164,1.03603,0.90774,0.89462,1,0.995,0.20125,2.32858,2.84408,1.72617,0.000713,0.000713,0.000713
54,1100.28,1.01113,1.1,0.95864,0.93155,1,0.995,0.199,2.13409,2.78454,1.93789,0.00068825,0.00068825,0.00068825
55,1120.54,1.037,1.04537,0.97409,0.9524,1,0.995,0.199,2.3734,2.43663,2.07318,0.0006635,0.0006635,0.0006635
56,1140.69,1.12501,1.14672,0.99409,0.96228,1,0.995,0.199,2.59701,2.24489,2.308,0.00063875,0.00063875,0.00063875
57,1160.96,1.07317,1.09949,0.92196,0.96228,1,0.995,0.199,2.59701,2.24489,2.308,0.000614,0.000614,0.000614
58,1181.6,0.991,0.99575,0.91581,0.96822,1,0.995,0.199,2.5653,1.95325,2.4411,0.00058925,0.00058925,0.00058925
59,1201.87,0.9564,1.01064,0.91026,0.97039,1,0.995,0.2985,2.58144,2.37569,2.58288,0.0005645,0.0005645,0.0005645
60,1222.33,0.90184,1.0218,0.91839,0,0,0,0,3.01127,2.14234,3.04187,0.00053975,0.00053975,0.00053975
61,1242.91,0.94197,0.99226,0.8921,0,0,0,0,3.01127,2.14234,3.04187,0.000515,0.000515,0.000515
62,1263.49,0.90241,1.03021,0.89501,0,0,0,0,3.14889,2.21319,3.14557,0.00049025,0.00049025,0.00049025
63,1283.91,0.97143,1.05394,0.91059,0.00333,1,0.24875,0.04975,3.09647,2.33992,3.04686,0.0004655,0.0004655,0.0004655
64,1304.17,0.90971,1.05214,0.89043,0.46716,0.93433,0.4975,0.04975,2.958,2.40147,2.92978,0.00044075,0.00044075,0.00044075
65,1324.7,0.92955,1.17638,0.88613,0.46716,0.93433,0.4975,0.04975,2.958,2.40147,2.92978,0.000416,0.000416,0.000416
66,1344.92,0.91879,0.87664,0.88706,0.47068,0.94137,0.4975,0.14925,2.87925,2.52064,2.7866,0.00039125,0.00039125,0.00039125
67,1365.82,0.98227,0.95835,0.92056,0.47355,0.94709,0.4975,0.14925,2.85784,2.57226,2.78342,0.0003665,0.0003665,0.0003665
68,1386.16,0.87193,0.94794,0.89326,0.47581,0.95161,0.4975,0.14925,3.01076,2.43444,2.90359,0.00034175,0.00034175,0.00034175
69,1406.69,0.96528,0.92383,0.89847,0.47581,0.95161,0.4975,0.14925,3.01076,2.43444,2.90359,0.000317,0.000317,0.000317
70,1427.47,0.85486,0.88238,0.88633,0.46749,0.93498,0.4975,0.04975,3.04792,2.33193,2.95206,0.00029225,0.00029225,0.00029225
71,1447.65,0.92927,1.29051,0.93328,0.46728,0.93457,0.4975,0.04975,3.05452,2.20289,3.02422,0.0002675,0.0002675,0.0002675
72,1467.93,0.90635,1.29676,0.89457,0.46771,0.93542,0.4975,0.04975,3.09259,2.2066,3.15643,0.00024275,0.00024275,0.00024275
73,1487.85,0.82891,1.15121,0.89634,0.46771,0.93542,0.4975,0.04975,3.09259,2.2066,3.15643,0.000218,0.000218,0.000218
74,1508.81,0.8449,1.17682,0.90412,0.46662,0.93325,0.4975,0.04975,3.21672,2.0652,3.31494,0.00019325,0.00019325,0.00019325
75,1530.22,0.77264,1.24247,0.91308,0.46476,0.92951,0.4975,0.04975,3.16522,2.08678,3.23021,0.0001685,0.0001685,0.0001685
76,1551.79,0.80767,1.30975,0.89764,0.46468,0.92935,0.4975,0.14925,3.11614,2.10516,3.15435,0.00014375,0.00014375,0.00014375
77,1572.88,0.8798,1.17233,0.91525,0.46468,0.92935,0.4975,0.14925,3.11614,2.10516,3.15435,0.000119,0.000119,0.000119
78,1593.79,0.76242,1.31048,0.86424,0.46522,0.93044,0.4975,0.14925,3.08101,2.07959,3.09074,9.425e-05,9.425e-05,9.425e-05
79,1614.58,0.9732,1.47364,0.87375,0.46455,0.92911,0.4975,0.14925,3.066,2.05993,3.05121,6.95e-05,6.95e-05,6.95e-05
80,1635.25,0.74395,1.13013,0.91627,0.46512,0.93025,0.4975,0.199,3.05081,2.03561,3.0194,4.475e-05,4.475e-05,4.475e-05
