epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.712,2.68733,7.28396,1.46782,0.00233,0.55556,0.00258,0.00101,2.01163,6.00871,1.13883,0.00026,0.00026,0.00026
2,233.895,2.38631,5.12778,1.36934,0.00178,0.42593,0.00178,0.00055,2.25946,6.0104,1.19821,0.00052812,0.00052812,0.00052812
3,351.647,2.1046,4.17041,1.23708,0.00163,0.38889,0.00116,0.00042,1.77185,5.19917,1.09806,0.00078392,0.00078392,0.00078392
4,469.742,2.07176,3.79901,1.24569,0.00155,0.37037,0.00108,0.00037,1.79146,5.08746,1.11554,0.0010274,0.0010274,0.0010274
5,587.624,1.97975,3.58138,1.21386,0.00349,0.83333,0.0536,0.02376,1.87694,4.28479,1.1626,0.00125856,0.00125856,0.00125856
6,705.402,2.05182,3.35012,1.23972,0.90156,0.16984,0.62142,0.27649,2.11312,3.6246,1.20279,0.0014774,0.0014774,0.0014774
7,822.893,2.12882,3.40528,1.24354,0.85406,0.65028,0.77752,0.34566,1.77321,2.7285,1.11381,0.00168392,0.00168392,0.00168392
8,940.434,1.96943,2.77867,1.23282,0.86889,0.62963,0.68722,0.3061,1.92201,2.88723,1.15961,0.001692,0.001692,0.001692
9,1057.44,1.88231,2.5639,1.21036,0.6923,0.54173,0.61827,0.31612,1.79037,2.96096,1.09634,0.001648,0.001648,0.001648
10,1174.55,1.86298,2.27117,1.17342,0.73517,0.66832,0.71421,0.27808,2.20546,2.52516,1.22027,0.001604,0.001604,0.001604
11,1291.4,1.78687,2.04981,1.13607,0.7432,0.66667,0.69884,0.29716,1.95327,2.28901,1.1808,0.00156,0.00156,0.00156
12,1408.56,1.78003,1.91032,1.15331,0.93708,0.7963,0.85652,0.37434,1.847,1.94057,1.10824,0.001516,0.001516,0.001516
13,1525.85,1.80233,1.87853,1.14141,0.89763,0.81191,0.87522,0.45746,1.69026,1.68056,1.0514,0.001472,0.001472,0.001472
14,1643.4,1.70203,1.73366,1.11085,0.83514,0.81481,0.85388,0.44656,1.68448,1.57161,1.06521,0.001428,0.001428,0.001428
15,1760.85,1.69138,1.63348,1.12129,0.74666,0.74074,0.73603,0.37485,1.83276,1.79183,1.09636,0.001384,0.001384,0.001384
16,1878.52,1.66563,1.56755,1.08122,0.88046,0.81847,0.87323,0.36985,2.06308,1.7777,1.12869,0.00134,0.00134,0.00134
17,1995.81,1.6739,1.51809,1.06779,0.88331,0.84113,0.89129,0.44597,1.84953,1.56445,1.08644,0.001296,0.001296,0.001296
18,2113.07,1.64144,1.48016,1.08389,0.91268,0.75926,0.82538,0.43712,1.76181,1.44099,1.07074,0.001252,0.001252,0.001252
19,2230.56,1.65352,1.3767,1.07113,0.90021,0.7963,0.8393,0.43212,1.7773,1.36128,1.08521,0.001208,0.001208,0.001208
20,2347.66,1.60474,1.30386,1.06899,0.9114,0.77778,0.85516,0.51674,1.47663,1.24288,1.01577,0.001164,0.001164,0.001164
21,2464.37,1.51545,1.21673,1.04157,0.9336,0.83333,0.88369,0.48832,1.56658,1.22274,1.00315,0.00112,0.00112,0.00112
22,2581.81,1.54595,1.22463,1.06122,0.89342,0.81481,0.89407,0.4804,1.56727,1.17627,1.01607,0.001076,0.001076,0.001076
